目标变量,行业,制造业分组,最佳滞后月数,相关系数,相关系数绝对值,有效样本数
结构转型比值R同比变化,8.木材加工和木、竹、藤、棕、草制品业,消费与轻工制造,1,-0.5567327910415192,0.5567327910415192,35
结构转型比值R同比变化,7.皮革、毛皮、羽毛及其制品和制鞋业,消费与轻工制造,1,-0.5560928279183778,0.5560928279183778,35
结构转型比值R同比变化,18.非金属矿物制品业,传统高耗能与材料行业,1,-0.5551146326310257,0.5551146326310257,35
结构转型比值R同比变化,31.金属制品、机械和设备修理业,其他制造,1,-0.5378802249252745,0.5378802249252745,35
结构转型比值R同比变化,26.电气机械和器材制造业,装备制造,1,-0.5258912980406869,0.5258912980406869,35
结构转型比值R同比变化,1.农副食品加工业,消费与轻工制造,1,-0.5228530028410425,0.5228530028410425,35
结构转型比值R同比变化,2.食品制造业,消费与轻工制造,1,-0.5216281280525852,0.5216281280525852,35
结构转型比值R同比变化,27.计算机、通信和其他电子设备制造业,先进制造与技术相关行业,1,-0.5134145706676106,0.5134145706676106,35
结构转型比值R同比变化,29.其他制造业,其他制造,1,-0.49517947222023195,0.49517947222023195,35
结构转型比值R同比变化,19.黑色金属冶炼和压延加工业,传统高耗能与材料行业,1,-0.4819107142002842,0.4819107142002842,35
结构转型比值R同比变化,25.铁路、船舶、航空航天和其他运输设备制造业,装备制造,1,-0.46188736896541244,0.46188736896541244,35
结构转型比值R同比变化,4.烟草制品业,消费与轻工制造,1,-0.43182394306391403,0.43182394306391403,35
结构转型比值R同比变化,15.医药制造业,先进制造与技术相关行业,3,0.4081134772800225,0.4081134772800225,33
结构转型比值R同比变化,14.化学原料和化学制品制造业,传统高耗能与材料行业,4,0.31441853332667813,0.31441853332667813,32
结构转型比值R同比变化,13.石油、煤炭及其他燃料加工业,传统高耗能与材料行业,3,-0.2923792169652325,0.2923792169652325,33
