date,制造业用电量,制造业同比增长率,制造业同比变化量,制造业同比变化量绝对值,低变化阈值,HHI集中度,有效行业数,结构熵,结构熵标准化,前5行业占比,最大行业占比,行业占比L1距离_同比,行业占比L2距离_同比,行业占比最大变化_同比,传统高耗能与材料行业占比,传统高耗能与材料行业同比增长率,传统高耗能与材料行业同比变化量,消费与轻工制造占比,消费与轻工制造同比增长率,消费与轻工制造同比变化量,装备制造占比,装备制造同比增长率,装备制造同比变化量,先进制造与技术相关行业占比,先进制造与技术相关行业同比增长率,先进制造与技术相关行业同比变化量,其他制造占比,其他制造同比增长率,其他制造同比变化量,装备与先进制造合计占比,结构转型差值T,结构转型比值R,结构转型差值T同比变化,结构转型比值R同比变化,传统高耗能与材料行业正向贡献占比,消费与轻工制造正向贡献占比,装备制造正向贡献占比,先进制造与技术相关行业正向贡献占比,其他制造正向贡献占比,装备与先进制造正向贡献占比,结构状态
2023-02-01,9931809945.6,0.22278802070777304,1809543635.0,1809543635.0,609802678.7000008,0.06695017402019439,14.936480967149793,2.9577269882974013,0.861309845428166,0.4821754476223714,0.13891852088966336,0.13810405156052413,0.04663224686615562,0.038315304813800855,0.502519001098494,0.1391571329817849,609681092.3970003,0.25709107107610335,0.3423768325511223,651246369.8282001,0.1326144999372953,0.3992108928575109,375784288.0185,0.0790807365991488,0.12045619111305683,84437108.36229992,0.02869469128628026,0.4496277965573863,88394776.30019999,0.2116952365364441,-0.29082376456204995,0.4212681233419703,0.04639082020273738,0.04642112468401055,0.3369253333471584,0.35989536658062304,0.20766798919329688,0.046662101279849384,0.04884920959907221,0.25433009047314625,消费轻工扩张主导型
2023-03-01,12796615244.0,0.026236014285996756,327149092.1000004,327149092.1000004,609802678.7000008,0.06784778534399667,14.73887459892576,2.955726834561577,0.8607273873068277,0.4862484668254358,0.13431867311912124,0.06327050513961079,0.025505695269803653,0.02256555962102058,0.5041456925052797,0.00132928126465659,8564285.579999924,0.2588827674169305,0.05570209587170738,174794759.26779938,0.13371599226633746,0.07042294843283226,112573781.89599991,0.07272463610675861,-0.0019050398164714988,-1776269.5197999477,0.030530911694003265,0.09223526225487388,32992534.450700045,0.20644062837309607,-0.29770506413218367,0.40948605024713974,0.01600927945180719,0.016652799095810245,0.02603717010113949,0.531411620657734,0.3422471939749063,0.0,0.1003040152662202,0.3422471939749063,低变化波动型
2023-04-01,12364260189.4,0.027547446721539304,331472575.69999886,331472575.69999886,609802678.7000008,0.06780953932732325,14.747187636431248,2.9567021344953877,0.8610114011588702,0.4867165090620783,0.13670577458237906,0.0555992290352125,0.02119109754673752,0.018836700077363794,0.505334982451805,0.003816098773961496,23752698.180000305,0.26003066569629657,0.06011584923669244,182317502.34210014,0.13022077908837118,0.09284706662999476,136790904.56759977,0.07573731578886665,-0.018539684643334664,-17689177.650600076,0.028676256978097916,0.018091791704930582,6300648.359300017,0.20595809487723782,-0.29937688757456715,0.4075674592682301,0.01617117022366832,0.017579517048328663,0.06802777780032458,0.5221577121239026,0.391769439855273,0.0,0.018045070220499712,0.391769439855273,低变化波动型
2023-05-01,13033347520.9,0.039766858715827524,498472600.0,498472600.0,609802678.7000008,0.06650236023846606,15.037060284990961,2.969875893354044,0.8648476876894229,0.48265008977184204,0.13154109420015012,0.04624529341070802,0.017521810545260218,0.01451476985138761,0.4995671931972999,0.013659342143784059,87737982.14000034,0.26217173888220285,0.06243523987834054,200802523.94590044,0.13101335533905015,0.10395871664456857,160797621.8650999,0.07828503079375754,0.036827400765188756,36240927.519899964,0.028962681798139732,0.035364781003605295,12893544.7949,0.20929838613280768,-0.2902688070644922,0.41895942924768287,0.02026279606331316,0.024952909376965537,0.17601365068654887,0.4028356299600549,0.32258066296795,0.07270395103075918,0.025866105354687044,0.3952846139987092,低变化波动型
2023-06-01,13191839840.1,0.11185334501958599,1327109748.5,1327109748.5,609802678.7000008,0.06397379604920729,15.631400069347475,2.9912940898544003,0.8710848095029177,0.466759166020418,0.12233782903460161,0.05619990578462408,0.02028391935427796,0.015561425509617116,0.4872827167503931,0.10557936378423127,613868706.4569998,0.2652587994867495,0.109079909540164,344157390.81970024,0.1357385525206184,0.15729379132542576,243375323.04900002,0.08158503908961506,0.09477314173023865,93170202.50159991,0.030134892162698247,0.08914639357459753,32538125.683000028,0.21732359161023346,-0.26995912514015963,0.44599076499065704,0.00682208572287224,0.010795090296684628,0.4625606187778187,0.25932850783894995,0.18338748797693058,0.07020534858265098,0.024518036823649697,0.25359283655958154,传统高耗能扩张主导型
2023-07-01,13698843109.1,0.07127494125031575,911422642.5,911422642.5,609802678.7000008,0.06296133446614575,15.882763738714893,2.995528959669768,0.872318031866075,0.45878950360450627,0.11999898304609455,0.07324630201561219,0.023663972002558847,0.013056083980314964,0.4789045419912115,0.07292684194802868,445913010.9529991,0.26715862645386135,0.05786664057885593,200193716.46409988,0.13993355633853524,0.1160294244881761,199295850.523,0.08315927249691257,0.05912248906162465,63591796.31410003,0.030844002710858083,0.00578022974376502,2428268.075699985,0.22309282883544782,-0.2558117131557637,0.4658398684377937,0.003920041856909973,0.009021728901279058,0.4892494329667928,0.2196497071351423,0.2186645813555099,0.06977201724058366,0.0026642613019713063,0.28843659859609355,传统高耗能扩张主导型
2023-08-01,14227830245.8,0.08946049293302094,1168311026.7999992,1168311026.7999992,609802678.7000008,0.0635831050508912,15.727448340240876,2.9925354217792868,0.8714462936468496,0.45851151034541954,0.12893428778935032,0.06832921117524096,0.022408901269763287,0.014038921967801349,0.48086678540036987,0.10042988094392147,624401630.5199995,0.2668407732819789,0.06379897932834777,227690560.91400003,0.13926518325286555,0.12409870640839626,218747972.47199988,0.08239030790943963,0.08191090132655154,88749314.83470011,0.0306369043296166,0.020415240066818496,8720896.058600008,0.22165549116230518,-0.25921129423806466,0.4609498886011741,-0.001076986805410629,0.0031652741455512334,0.5344484171231155,0.19488876057709778,0.18723446884529973,0.0759638164215961,0.007464537032890892,0.2631982852668958,传统高耗能扩张主导型
2023-09-01,13574050642.1,0.10182093715675822,1254398524.1000004,1254398524.1000004,609802678.7000008,0.06359462708954898,15.724598850023575,2.985917755984267,0.8695191851863473,0.46677473777788797,0.11968347633029493,0.08883108916505673,0.03281621281457497,0.019451535058169475,0.4878258296571055,0.11836545846182456,700834538.289999,0.2657529840880953,0.07618199523825209,255360803.3010006,0.13509312893378925,0.10788904313156267,178576291.54699993,0.08152525632990396,0.10778413460904535,107671642.0323,0.029802784330338564,0.030451714460479895,11955022.775600016,0.2166183852636932,-0.2712074443934123,0.4440486175485111,-0.006037864221018707,-0.004214986607080362,0.5587017611851264,0.20357234517868739,0.142360119460798,0.08583529028109677,0.009530483894291461,0.22819540974189476,传统高耗能扩张主导型
2023-10-01,13630873936.7,0.12116240985903914,1473068950.7000008,1473068950.7000008,609802678.7000008,0.0668344921982441,14.962334074953478,2.9588111693703922,0.8616255661948523,0.4863707036707451,0.1334481607156862,0.07308303734876855,0.026787750920487026,0.01637528301161835,0.5047692307533539,0.13675902867589218,827759493.5240002,0.25738620489347547,0.10256928876127214,326377656.94860077,0.13273829023421638,0.12887863117116805,206563499.7557001,0.0766534919352175,0.10931266338481427,102960857.37680006,0.028452782202458997,0.02485921329532692,9407443.35009998,0.20939178216943388,-0.29537744858392,0.41482675530147217,-0.006837072007756351,-0.00559295927346426,0.5619285458343585,0.22156305496559647,0.14022663339808736,0.06989547726875638,0.00638628853320124,0.21012211066684372,传统高耗能扩张主导型
2023-11-01,13548343205.9,0.14992253987144855,1766381607.5,1766381607.5,609802678.7000008,0.06855509949975802,14.586806923145517,2.939879441290098,0.8561125205854897,0.496029868446455,0.13748174199623595,0.06492591261043112,0.02284534299462952,0.017248877084915293,0.5143024250917718,0.17246222300359948,1024943399.5640011,0.24865467479003908,0.14172887379978794,418194358.6886997,0.13518895329817043,0.1403180341076904,225379750.56899977,0.07475834257269375,0.10265758487459498,94296642.04579997,0.027095604248011367,0.009813292135534057,3567456.4063999653,0.2099472958708642,-0.3043551292209076,0.40821758877260067,-0.01423020293733368,-0.016611726612860533,0.5802502671808393,0.23675198890578872,0.12759403157329846,0.05338407151517517,0.002019640824898368,0.18097810308847362,传统高耗能扩张主导型
2023-12-01,13694729821.9,0.2086069898146421,2363726495.5,2363726495.5,609802678.7000008,0.0688657166297604,14.521013487396845,2.9369859463901804,0.8552699155530252,0.4982989015575359,0.1383668049171563,0.07585193683553616,0.021915139091814684,0.011252517659825892,0.5168076731716102,0.2398131187808279,1368986392.922,0.24836024819891744,0.19970366094067327,566170968.1901002,0.1329803671471291,0.19181871802369277,293104022.4299998,0.07477793650471025,0.14382574504115397,128766742.84510005,0.027073774969783217,0.018398591335770265,6698368.974799991,0.20775830365183934,-0.3090493695197709,0.40200313276473254,-0.019116351681830013,-0.02250412793044887,0.579164465773923,0.23952473744361538,0.1240008194709141,0.05447616003702648,0.002833817274521073,0.1784769795079406,传统高耗能扩张主导型
2024-01-01,13054517343.2,0.8709697237679199,6077110292.000001,6077110292.000001,609802678.7000008,0.0674061454720709,14.835442569763028,2.950538176373985,0.8592164154019776,0.4892650420267741,0.1342683573110441,0.23816549296873582,0.061899644984840775,0.02423067170014853,0.5093095405809319,0.6661050330308691,2658171332.748,0.25158346397000786,1.3629002527138154,1894355989.1006002,0.13268065330850615,1.3826393901067742,1005122578.5847,0.07877194762553585,0.4825652729286809,334714591.4153,0.027654394534452082,1.048090302396433,184745800.6267,0.211452600934042,-0.2978569396468899,0.41517502439254056,0.07048109808057718,0.05919653771390404,0.43740712358624745,0.31171986321298106,0.16539482257369037,0.05507791948909415,0.0304002711379869,0.22047274206278453,其他扩张型
2024-02-01,7661401212.9,-0.228599695839512,-2270408732.700001,2270408732.700001,609802678.7000008,0.08224794789674116,12.158358057218132,2.8068278672996847,0.817367013957907,0.5654235658662592,0.15808245192677503,0.2956928040586199,0.0831436714033185,0.048139193398234525,0.5723305136333203,-0.12143435107533751,-606069521.6330004,0.2001208300295958,-0.3995385817659052,-1020173686.7233,0.10784954594567388,-0.37265402663056535,-490823367.28909993,0.10042245833104921,-0.02041991219958994,-16038102.200899959,0.019276652067135084,-0.4817851455717289,-137304054.77519995,0.2082720042767231,-0.3640585093565972,0.36390162557392214,-0.07323474479454728,-0.05736649776804814,,,,,,0.0,制造业回落型
