,1.农副食品加工业,2.食品制造业,3.酒、饮料及精制茶制造业,4.烟草制品业,5.纺织业,6.纺织服装、服饰业,7.皮革、毛皮、羽毛及其制品和制鞋业,8.木材加工和木、竹、藤、棕、草制品业,9.家具制造业,10.造纸和纸制品业,11.印刷和记录媒介复制业,12.文教、工美、体育和娱乐用品制造业,13.石油、煤炭及其他燃料加工业,14.化学原料和化学制品制造业,15.医药制造业,16.化学纤维制造业,17.橡胶和塑料制品业,18.非金属矿物制品业,19.黑色金属冶炼和压延加工业,20.有色金属冶炼和压延加工业,21.金属制品业,22.通用设备制造业,23.专用设备制造业,24.汽车制造业,25.铁路、船舶、航空航天和其他运输设备制造业,26.电气机械和器材制造业,27.计算机、通信和其他电子设备制造业,28.仪器仪表制造业,29.其他制造业,30.废弃资源综合利用业,31.金属制品、机械和设备修理业
11.印刷和记录媒介复制业,0.8817041427793502,0.9572811900922968,0.8112105188833765,0.7940652231407652,0.9617093403601771,0.9817089921495983,0.9888314643245099,0.9740660832716043,0.9884088386602644,0.9092183701203504,1.0,0.9925800820731373,-0.11752980287419183,0.28118756477110507,0.7747093033821848,0.6852812766184605,0.996812457104584,0.9758434100490991,0.675975769307619,0.4431725864671525,0.9928350705408457,0.989534172293917,0.957705253464109,0.9552408405377708,0.9448044479057484,0.9585280349752994,0.8520646556325328,0.9261953863951315,0.9137992694686178,0.9597170016910868,0.9488971590496694
12.文教、工美、体育和娱乐用品制造业,0.8592204559533086,0.9364907140626184,0.8087557086613508,0.7904117813244931,0.9707118917507453,0.9853675143189057,0.98569043119093,0.9797556230202787,0.9906925941356147,0.8930917717387271,0.9925800820731373,1.0,-0.12170657205970925,0.31501142372996926,0.8055203124894926,0.7227228705296557,0.9921877171643687,0.9722646955848929,0.7220595209867572,0.42422712618715974,0.9929030346051344,0.9918254468740111,0.9744306712778436,0.9436583235834688,0.9359518151147057,0.9689937507434441,0.886450541561511,0.9214053469657184,0.9137555226868522,0.9485293425088498,0.945297185111694
13.石油、煤炭及其他燃料加工业,-0.09579428716759682,-0.15663539843738944,-0.08002546758085202,-0.1278244779023356,-0.12431839663279377,-0.10765798139371222,-0.10314810685456687,-0.10925612570043226,-0.13172816026593362,-0.03889625932024848,-0.11752980287419183,-0.12170657205970925,1.0,-0.10425639511490928,-0.16699302891346035,-0.06379225752694614,-0.1289893535491639,-0.11661580054520337,-0.0951208592191933,0.11729781995773983,-0.10336458600172074,-0.08550297995135445,-0.1514778586968055,-0.07448790556292921,-0.1491431012384657,-0.15023961435030778,-0.20992514611441537,-0.03665433602965287,-0.08741698025285508,-0.2169804583664367,-0.0006087125807270362
14.化学原料和化学制品制造业,0.1069735482534959,0.19835152322622088,0.32036015320037353,0.07479342864432899,0.41870335659765806,0.3685084610196646,0.33383245393833627,0.33836186854557837,0.3865764987086279,0.33932155207250003,0.28118756477110507,0.31501142372996926,-0.10425639511490928,1.0,0.2607473392364018,0.4562940410023473,0.28996145735160495,0.23330030171222874,0.4409343686531709,0.29122545906421277,0.30486723957115885,0.2775720414966576,0.4116098758397788,0.15759888275090916,0.08782936986650737,0.3311397939150022,0.5073273110757625,0.2133423079039456,0.0432932670398896,0.24729150412748413,0.14685596257260625
15.医药制造业,0.6762518874080979,0.7360492599773922,0.5200932318517772,0.6535269744985083,0.7234474029417578,0.7517404019719928,0.7452614422533497,0.747710305133594,0.7525146352097456,0.5240574115999159,0.7747093033821848,0.8055203124894926,-0.16699302891346035,0.2607473392364018,1.0,0.41258474572140874,0.7677209894744611,0.7558997213358505,0.7500007369708068,-0.05720848627228902,0.7455087978315464,0.778230582915228,0.821797661289387,0.6807647084132783,0.813704565488624,0.7851126177103166,0.793630513990399,0.7854602092568814,0.8215999685633281,0.7375252641468987,0.7888377471137306
16.化学纤维制造业,0.5468198707451511,0.6356400644331348,0.7373595127787018,0.5056359082951581,0.7977221485728597,0.7465629191333416,0.7009942642043946,0.7250701897775282,0.732882397604903,0.7908232720333586,0.6852812766184605,0.7227228705296557,-0.06379225752694614,0.4562940410023473,0.41258474572140874,1.0,0.7040553958471932,0.6769562530893586,0.6375634252919564,0.6965824621376407,0.7333728463338474,0.6984646963644021,0.759031703361305,0.7093780331203107,0.5336334080714686,0.7339632667112251,0.7631180413868563,0.6460224581050611,0.5603436569907958,0.6468020002876622,0.6092809194743426
17.橡胶和塑料制品业,0.8862900090533434,0.9585291290609207,0.8137277054655002,0.800759582868147,0.9632395975234677,0.9772944934237686,0.9838540465598425,0.9761446725236332,0.9874184247831957,0.9135898646452761,0.996812457104584,0.9921877171643687,-0.1289893535491639,0.28996145735160495,0.7677209894744611,0.7040553958471932,1.0,0.9831622711028888,0.6827851284707492,0.44809409021142715,0.9929723939125074,0.9899959497702229,0.9585412351849832,0.9564381995911568,0.9472598172780786,0.9617495135668025,0.8528153525562124,0.9277268430028974,0.9139154985307771,0.9638384822743039,0.9540700025507217
18.非金属矿物制品业,0.8954866067372584,0.9615947759031113,0.7881223119378468,0.7672185589154856,0.9412050384331558,0.9569884232311199,0.965941763512456,0.9734346084091552,0.9584203106497818,0.8881315004140664,0.9758434100490991,0.9722646955848929,-0.11661580054520337,0.23330030171222874,0.7558997213358505,0.6769562530893586,0.9831622711028888,1.0,0.6402900657804027,0.42623307359527035,0.9761148657649821,0.9815586832214519,0.9164640997706271,0.9516730610614443,0.9508775139258036,0.9296688095162544,0.7983800729823086,0.9155303816706127,0.9190544727277793,0.9554504691945855,0.9635839532746956
19.黑色金属冶炼和压延加工业,0.48556281406795543,0.571127431744951,0.5021888360463999,0.4924350158271985,0.7203233120394582,0.7026422431956462,0.6724290027771839,0.6804218855022932,0.7004370975092973,0.554397880004161,0.675975769307619,0.7220595209867572,-0.0951208592191933,0.4409343686531709,0.7500007369708068,0.6375634252919564,0.6827851284707492,0.6402900657804027,1.0,0.21526490438328502,0.6884118204888071,0.6924659920954617,0.7913026285090238,0.6512129057349456,0.5832372677173183,0.738186935566817,0.8086237481747056,0.6924889461983412,0.64679967154284,0.6054464238677754,0.6263052437983166
20.有色金属冶炼和压延加工业,0.46738877758073805,0.45286695238299507,0.6477965913694934,0.23405035905164617,0.5251322460912026,0.48423729599351123,0.4607121773547615,0.48196386123560186,0.48189508273751325,0.7326544586855404,0.4431725864671525,0.42422712618715974,0.11729781995773983,0.29122545906421277,-0.05720848627228902,0.6965824621376407,0.44809409021142715,0.42623307359527035,0.21526490438328502,1.0,0.49031925185307873,0.4398600514140923,0.4231202942128751,0.4999628541545931,0.22579321487699022,0.40544329544013863,0.4053115310802204,0.4514348902281914,0.26371965317611684,0.3819713233889354,0.341383436210484
21.金属制品业,0.8616710500725524,0.9417759038935578,0.8217915396531594,0.7716094790745172,0.9753465290909902,0.9897613022209334,0.992543199233563,0.9868583811183078,0.9913122398618877,0.920708389798517,0.9928350705408457,0.9929030346051344,-0.10336458600172074,0.30486723957115885,0.7455087978315464,0.7333728463338474,0.9929723939125074,0.9761148657649821,0.6884118204888071,0.49031925185307873,1.0,0.994984279440869,0.9551013749598088,0.9509150561246483,0.9224120110603079,0.9572168027405351,0.8596555586850206,0.9129720293414325,0.8965268376090275,0.955332095851481,0.9397352556173459
22.通用设备制造业,0.8585976954382039,0.9359352383485268,0.7890052239803419,0.7734342540894475,0.9638210605203719,0.9833181326154008,0.9898591766541353,0.9855205498670224,0.9835325433721448,0.8907169611274006,0.989534172293917,0.9918254468740111,-0.08550297995135445,0.2775720414966576,0.778230582915228,0.6984646963644021,0.9899959497702229,0.9815586832214519,0.6924659920954617,0.4398600514140923,0.994984279440869,1.0,0.9456686364710145,0.9441179653408165,0.9362310567041578,0.9510768211807288,0.846935499132903,0.9146374246905997,0.9127377309088895,0.9501394321893083,0.9554140884977482
23.专用设备制造业,0.8333259072175631,0.8948557742350909,0.8267577554238926,0.7549722255337951,0.9619635525996167,0.9589343382223129,0.9433408661404806,0.9417917894312299,0.9710316455202133,0.8811400214065018,0.957705253464109,0.9744306712778436,-0.1514778586968055,0.4116098758397788,0.821797661289387,0.759031703361305,0.9585412351849832,0.9164640997706271,0.7913026285090238,0.4231202942128751,0.9551013749598088,0.9456686364710145,1.0,0.9012513807289203,0.8718357846654089,0.9773888968219039,0.951857901749206,0.9168514418620112,0.8668936562328828,0.9030214721250883,0.8946828405526406
24.汽车制造业,0.8704817087323079,0.9371131851496273,0.8001338310629438,0.7501140188839289,0.9183654192611426,0.931575050417429,0.9372942128665294,0.9218019852817821,0.9275463323597201,0.8976177779932228,0.9552408405377708,0.9436583235834688,-0.07448790556292921,0.15759888275090916,0.6807647084132783,0.7093780331203107,0.9564381995911568,0.9516730610614443,0.6512129057349456,0.4999628541545931,0.9509150561246483,0.9441179653408165,0.9012513807289203,1.0,0.9106507551164208,0.9149483891301077,0.76504799581821,0.9096248058511345,0.8951543191633278,0.8935051953578765,0.9383336450438267
25.铁路、船舶、航空航天和其他运输设备制造业,0.8648999460392754,0.9352184462067961,0.6913571760386229,0.8314324000722542,0.8533776507463716,0.8885929891447604,0.9118272130481437,0.9012578905816891,0.900364144612833,0.7768063481442662,0.9448044479057484,0.9359518151147057,-0.1491431012384657,0.08782936986650737,0.813704565488624,0.5336334080714686,0.9472598172780786,0.9508775139258036,0.5832372677173183,0.22579321487699022,0.9224120110603079,0.9362310567041578,0.8718357846654089,0.9106507551164208,1.0,0.8842081012776929,0.7334314995425288,0.8731702395756556,0.948810282824878,0.9340649774258304,0.9520411839802988
26.电气机械和器材制造业,0.8435871008442831,0.8998631390213657,0.7982147993771886,0.7558292353202565,0.9585476154960949,0.9580906200533503,0.9474103835340449,0.9461200552548186,0.9674401300319281,0.8912341748362077,0.9585280349752994,0.9689937507434441,-0.15023961435030778,0.3311397939150022,0.7851126177103166,0.7339632667112251,0.9617495135668025,0.9296688095162544,0.738186935566817,0.40544329544013863,0.9572168027405351,0.9510768211807288,0.9773888968219039,0.9149483891301077,0.8842081012776929,1.0,0.9248202147131632,0.9025167008907289,0.872093805007567,0.9102915366408754,0.9135153277305227
27.计算机、通信和其他电子设备制造业,0.7186081418900148,0.7780388219102545,0.786798768857906,0.642610008117958,0.9020586727188901,0.8825106139198154,0.8485561443617757,0.8619874291802966,0.8926166815835664,0.8006394438810928,0.8520646556325328,0.886450541561511,-0.20992514611441537,0.5073273110757625,0.793630513990399,0.7631180413868563,0.8528153525562124,0.7983800729823086,0.8086237481747056,0.4053115310802204,0.8596555586850206,0.846935499132903,0.951857901749206,0.76504799581821,0.7334314995425288,0.9248202147131632,1.0,0.8210949400911337,0.7529743223005965,0.8001502374271435,0.76550004390816
28.仪器仪表制造业,0.9333057459501397,0.9252128692173794,0.8125174741447271,0.7359268571682916,0.8801847857196415,0.8926437435180572,0.8847792539284227,0.8926923231848458,0.9005786058737295,0.8681953946816564,0.9261953863951315,0.9214053469657184,-0.03665433602965287,0.2133423079039456,0.7854602092568814,0.6460224581050611,0.9277268430028974,0.9155303816706127,0.6924889461983412,0.4514348902281914,0.9129720293414325,0.9146374246905997,0.9168514418620112,0.9096248058511345,0.8731702395756556,0.9025167008907289,0.8210949400911337,1.0,0.8949689604641191,0.8863303879737661,0.9252823641385123
29.其他制造业,0.8574514810014645,0.8910122267515732,0.7029284315587965,0.8460133457664812,0.8253334463263768,0.8578932991007249,0.8710204713896958,0.864252798441333,0.8653786021563565,0.753868569927982,0.9137992694686178,0.9137555226868522,-0.08741698025285508,0.0432932670398896,0.8215999685633281,0.5603436569907958,0.9139154985307771,0.9190544727277793,0.64679967154284,0.26371965317611684,0.8965268376090275,0.9127377309088895,0.8668936562328828,0.8951543191633278,0.948810282824878,0.872093805007567,0.7529743223005965,0.8949689604641191,1.0,0.875284002902028,0.9240978308618745
30.废弃资源综合利用业,0.8733097199533878,0.9522587835500548,0.771202135271841,0.7787480912166976,0.9082060279851866,0.9345662872656709,0.9441354236140979,0.9409784519555304,0.9422291394927522,0.8651967645401827,0.9597170016910868,0.9485293425088498,-0.2169804583664367,0.24729150412748413,0.7375252641468987,0.6468020002876622,0.9638384822743039,0.9554504691945855,0.6054464238677754,0.3819713233889354,0.955332095851481,0.9501394321893083,0.9030214721250883,0.8935051953578765,0.9340649774258304,0.9102915366408754,0.8001502374271435,0.8863303879737661,0.875284002902028,1.0,0.9029692509757269
31.金属制品、机械和设备修理业,0.8858222718959456,0.9239196866729645,0.744813203415927,0.7768632139457137,0.894568099171102,0.9151671292393372,0.9275872426630908,0.9275436474359356,0.9185929303972947,0.8323218137919483,0.9488971590496694,0.945297185111694,-0.0006087125807270362,0.14685596257260625,0.7888377471137306,0.6092809194743426,0.9540700025507217,0.9635839532746956,0.6263052437983166,0.341383436210484,0.9397352556173459,0.9554140884977482,0.8946828405526406,0.9383336450438267,0.9520411839802988,0.9135153277305227,0.76550004390816,0.9252823641385123,0.9240978308618745,0.9029692509757269,1.0
