目标变量,行业,制造业分组,检验滞后阶数,best_corr_lag,best_corr,best_abs_corr,corr_n,F,p_value,test_n,df_num,df_den,backtest_n,mae_base,mae_full,mae_gain,point_improvement_share,rolling_windows,rolling_median_abs_corr,rolling_strong_share,rolling_sign_consistency,q_value,证据等级,综合排序分
制造业同比增长率,28.仪器仪表制造业,先进制造与技术相关行业,1,1,-0.33201074365129013,0.33201074365129013,35,4.031672431084666,0.053158677369865175,35,1,32,23,0.10161484110892222,0.11616191227697792,-0.14315892254815923,0.5652173913043478,18,0.3125270697779937,0.7222222222222222,1.0,0.19204326573573116,仅相关或检验候选,0.05424374508292861
制造业同比增长率,17.橡胶和塑料制品业,传统高耗能与材料行业,1,1,-0.31522991095044295,0.31522991095044295,35,5.284753204732324,0.02819165202319338,35,1,32,23,0.10161484110892222,0.11444170394289403,-0.1262302110006012,0.391304347826087,18,0.3136717584804828,0.6666666666666666,1.0,0.1901031871200036,仅相关或检验候选,0.03962694848397833
制造业同比增长率,30.废弃资源综合利用业,其他制造,2,1,-0.42389051989553905,0.42389051989553905,35,6.9738966619357745,0.0033661121330489678,34,2,29,22,0.0906247110645077,0.10268199386600142,-0.13304630337426632,0.13636363636363635,18,0.43827673910973863,0.9444444444444444,1.0,0.104349476124518,仅相关或检验候选,0.02663521271849767
制造业同比增长率,21.金属制品业,装备制造,2,1,-0.323642427666914,0.323642427666914,35,5.269859733795115,0.011163079200939044,34,2,29,22,0.0906247110645077,0.11721858987976931,-0.29345063286692064,0.4090909090909091,18,0.33406149204505,0.7222222222222222,1.0,0.14762512024551996,仅相关或检验候选,-0.11724603029333805
制造业同比增长率,12.文教、工美、体育和娱乐用品制造业,消费与轻工制造,1,1,-0.31875950024896943,0.31875950024896943,35,6.612595547123249,0.014976277515607235,35,1,32,23,0.10161484110892222,0.13581768558831214,-0.3365930026178703,0.30434782608695654,18,0.3236580606794146,0.7222222222222222,1.0,0.15475486766127478,仅相关或检验候选,-0.17645634986566827
制造业同比增长率,16.化学纤维制造业,传统高耗能与材料行业,2,4,0.28736659134717923,0.28736659134717923,32,3.2904646662925368,0.05153713899069946,34,2,29,22,0.0906247110645077,0.0626586320971999,0.3085922000612087,0.5909090909090909,15,0.283874457023314,0.2,0.8666666666666667,0.19204326573573116,有预测增益候选,0.4576264004107858
制造业同比增长率,3.酒、饮料及精制茶制造业,消费与轻工制造,2,1,-0.2470412000247604,0.2470412000247604,35,2.1620857970923657,0.1332785377331278,34,2,29,22,0.0906247110645077,0.06505897143307209,0.2821056125987274,0.6363636363636364,18,0.28337584197397997,0.3333333333333333,1.0,0.24789808018361773,有预测增益候选,0.4484985873774253
制造业同比增长率,15.医药制造业,先进制造与技术相关行业,1,1,-0.3778539556904055,0.3778539556904055,35,3.514634207301361,0.06998180278693912,35,1,32,23,0.10161484110892222,0.08232327828916124,0.189849854698706,0.6956521739130435,18,0.44338170983473496,0.8888888888888888,1.0,0.1977797574975996,有预测增益候选,0.42319758179967143
制造业同比增长率,23.专用设备制造业,装备制造,1,1,-0.2881631427508158,0.2881631427508158,35,2.6427718913138136,0.11383164997784127,35,1,32,23,0.10161484110892222,0.09889523188729994,0.026763897792322393,0.6086956521739131,18,0.31001623594497796,0.5555555555555556,1.0,0.2328542280007523,证据较弱,0.21198108977392732
制造业同比增长率,5.纺织业,消费与轻工制造,1,1,-0.25400631647665406,0.25400631647665406,35,0.5571260257310667,0.46086937593674426,35,1,32,23,0.10161484110892222,0.10587284894322617,-0.041903404934125144,0.391304347826087,18,0.27097277349922616,0.1111111111111111,1.0,0.5952896105849613,证据较弱,0.04813887782165095
制造业同比增长率,18.非金属矿物制品业,传统高耗能与材料行业,2,1,-0.29873442803206124,0.29873442803206124,35,1.2476085938602235,0.30215108640653054,34,2,29,22,0.0906247110645077,0.09889356304263149,-0.09124279549137454,0.45454545454545453,18,0.2812907629212396,0.16666666666666666,1.0,0.423361361876928,证据较弱,0.0224376212632639
制造业同比增长率,1.农副食品加工业,消费与轻工制造,1,1,-0.31508713289239965,0.31508713289239965,35,1.7629788997777616,0.19364764331227363,35,1,32,23,0.10161484110892222,0.11622862887004919,-0.14381548602199032,0.4782608695652174,18,0.30605221589916837,0.5555555555555556,1.0,0.32744056050984455,证据较弱,0.01710717194285563
制造业同比增长率,26.电气机械和器材制造业,装备制造,1,1,-0.28274788331408035,0.28274788331408035,35,1.5829319295570516,0.21744201596513715,35,1,32,23,0.10161484110892222,0.11226735544013247,-0.10483226874105617,0.391304347826087,18,0.28392065991213866,0.2777777777777778,1.0,0.3391883144591054,证据较弱,0.014681745487679383
制造业同比增长率,27.计算机、通信和其他电子设备制造业,先进制造与技术相关行业,1,1,-0.24418002874054728,0.24418002874054728,35,0.1792586636300377,0.6748433119871654,35,1,32,23,0.10161484110892222,0.1137893200503436,-0.11981004751433319,0.34782608695652173,18,0.3232608866297231,0.6111111111111112,1.0,0.7748200989482269,证据较弱,0.0047339716928448475
制造业同比增长率,14.化学原料和化学制品制造业,传统高耗能与材料行业,1,2,0.19430152625265287,0.19430152625265287,34,2.4778782718764267,0.1252942104244849,35,1,32,23,0.10161484110892222,0.11445078982887207,-0.1263196259510049,0.4782608695652174,17,0.16128660458642868,0.0,0.6470588235294118,0.2427575326974395,证据较弱,-0.016718372151094264
制造业同比增长率,24.汽车制造业,装备制造,1,1,-0.25054033653078256,0.25054033653078256,35,0.25516699324337483,0.616921635060654,35,1,32,23,0.10161484110892222,0.11612775352979353,-0.1428227635106445,0.43478260869565216,18,0.217518604858585,0.1111111111111111,1.0,0.7355604110338566,证据较弱,-0.05327228164687838
制造业同比增长率,4.烟草制品业,消费与轻工制造,2,1,-0.2525978961352796,0.2525978961352796,35,0.4590652272253863,0.6363871800742414,34,2,29,22,0.0906247110645077,0.11412514070599564,-0.2593159124640967,0.4090909090909091,18,0.25686036756861697,0.4444444444444444,0.7222222222222222,0.749164655024107,证据较弱,-0.1409660644072212
制造业同比增长率,10.造纸和纸制品业,消费与轻工制造,1,1,-0.18075557430047356,0.18075557430047356,35,0.4016815701742599,0.530726595354642,35,1,32,23,0.10161484110892222,0.13451942969427816,-0.3238167597003385,0.43478260869565216,18,0.1857568128222578,0.16666666666666666,1.0,0.6494417548418645,证据较弱,-0.22440478947141723
制造业同比增长率,9.家具制造业,消费与轻工制造,1,1,-0.28380296572663055,0.28380296572663055,35,2.3854191424937006,0.13230513825648646,35,1,32,23,0.10161484110892222,0.141623365916946,-0.3937271797250378,0.2608695652173913,18,0.3079920596355722,0.6111111111111112,1.0,0.24789808018361773,证据较弱,-0.25588053784049886
制造业同比增长率,19.黑色金属冶炼和压延加工业,传统高耗能与材料行业,1,6,-0.12529758144970918,0.12529758144970918,30,0.48412284048477133,0.49158350419463387,35,1,32,23,0.10161484110892222,0.16209596417407374,-0.5951997011964133,0.2608695652173913,13,0.13156560605207568,0.0,0.5384615384615384,0.6178008904067696,证据较弱,-0.5369593109341431
