horizon,model,mae,rmse,mape,smape,n
20,direct_own_weather_holiday,46405494.20826721,55934977.69497381,0.05430866800735817,0.05637810002171315,101
21,direct_own_weather_holiday,46850325.81170362,56549773.78270429,0.054840744767993894,0.05695760652301828,101
22,direct_own_weather_holiday,47315431.74786016,56799193.10976862,0.05541794958483534,0.05756023402946768,101
23,direct_own_weather_holiday,47728439.706862494,57129432.217252165,0.05595192948090927,0.05812936947099986,101
24,direct_own_weather_holiday,48172812.09420835,57288477.72687196,0.05655204359427384,0.0587591668639928,101
25,direct_own_weather_holiday,48736108.94629462,57381864.32389443,0.05731529229852408,0.05954919373110987,101
26,direct_own_weather_holiday,49599539.47893611,57678385.532651804,0.05845015779174968,0.06072433560231191,101
27,direct_own_weather_holiday,50420091.71004446,58216550.6772524,0.05951345732912836,0.061841569279891394,101
28,direct_own_weather_holiday,50708892.345214635,58594909.61830609,0.059855056335188325,0.06221370952896231,101
29,direct_own_weather_holiday,51172790.220989555,59042569.959115155,0.06042326750489223,0.06281605195483052,101
30,direct_own_weather_holiday,51435261.95220069,59176911.353332445,0.060764501502519844,0.06316867230023109,101
