日期,actual,prediction,lower_90,median_bias_adjusted,upper_90,covered_90
2025-11-19,785536331,806312991.7850106,770738003.6847291,808032881.7367159,836006116.8443663,True
2025-11-20,789566797,790978572.1345966,755403584.0343151,792698462.0863019,820671697.1939523,True
2025-11-21,781713368,799224831.0631437,763649842.9628623,800944721.0148491,828917956.1224995,True
2025-11-22,777234266,778152955.7925769,742577967.6922954,779872845.7442822,807846080.8519326,True
2025-11-23,763587139,768768541.016813,733193552.9165316,770488430.9685184,798461666.0761688,True
2025-11-24,787419759,786083291.0909512,750508302.9906697,787803181.0426565,815776416.1503069,True
2025-11-25,779113247,797246121.7890131,761671133.6887317,798966011.7407185,826939246.8483689,True
2025-11-26,779056661,783944905.031912,748369916.9316305,785664794.9836173,813638030.0912677,True
2025-11-27,785923784,788989877.1565571,753414889.0562756,790709767.1082624,818683002.2159128,True
2025-11-28,793532772,798215381.8178315,762640393.71755,799935271.7695369,827908506.8771873,True
2025-11-29,775439198,789893714.8034254,754318726.703144,791613604.7551308,819586839.8627812,True
2025-11-30,752415007,765098934.6140383,729523946.5137569,766818824.5657437,794792059.6733941,True
2025-12-01,752093794,774142006.6807112,738567018.5804297,775861896.6324165,803835131.7400669,True
2025-12-02,774181582,760566634.3473217,724991646.2470403,762286524.2990271,790259759.4066775,True
2025-12-03,779128904,780219745.953817,744644757.8535355,781939635.9055223,809912871.0131727,True
2025-12-04,780611840,787153645.0165639,751578656.9162824,788873534.9682692,816846770.0759196,True
2025-12-05,790342731,790448328.5599449,754873340.4596634,792168218.5116502,820141453.6193006,True
2025-12-06,783475966,786385923.5800298,750810935.4797484,788105813.5317352,816079048.6393856,True
2025-12-07,769662376,771126723.5598878,735551735.4596063,772846613.5115931,800819848.6192435,True
2025-12-08,781993536,789115785.4656454,753540797.365364,790835675.4173508,818808910.5250012,True
2025-12-09,790459836,790301447.9064581,754726459.8061767,792021337.8581635,819994572.9658139,True
2025-12-10,793331038,795694862.8590819,760119874.7588004,797414752.8107872,825387987.9184376,True
2025-12-11,792303023,798301599.9969584,762726611.8966769,800021489.9486637,827994725.0563141,True
2025-12-12,805771337,798507511.0684469,762932522.9681654,800227401.0201522,828200636.1278026,True
2025-12-13,805919635,799404748.5539914,763829760.45371,801124638.5056968,829097873.6133472,True
2025-12-14,775261923,791037404.0655488,755462415.9652673,792757294.0172541,820730529.1249045,True
2025-12-15,800205024,793555662.0082947,757980673.9080132,795275551.96,823248787.0676504,True
2025-12-16,791223092,804231992.8334621,768657004.7331806,805951882.7851675,833925117.8928179,True
2025-12-17,797873177,787733836.4417493,752158848.3414679,789453726.3934547,817426961.5011051,True
2025-12-18,807913091,799725900.3510628,764150912.2507813,801445790.3027681,829419025.4104185,True
2025-12-19,813412227,811711406.9026681,776136418.8023866,813431296.8543735,841404531.9620239,True
2025-12-20,800554656,805985337.4588491,770410349.3585676,807705227.4105544,835678462.5182048,True
2025-12-21,775722494,782940640.2394706,747365652.1391891,784660530.1911759,812633765.2988263,True
2025-12-22,800416947,791203333.4564161,755628345.3561347,792923223.4081215,820896458.5157719,True
2025-12-23,805434213,802727422.5277106,767152434.4274291,804447312.4794159,832420547.5870663,True
2025-12-24,803732375,799657152.5834568,764082164.4831753,801377042.5351621,829350277.6428125,True
2025-12-25,824337857,802312183.2087525,766737195.108471,804032073.1604578,832005308.2681082,True
2025-12-26,812520530,825216687.8589667,789641699.7586852,826936577.810672,854909812.9183224,True
2025-12-27,813024286,799894370.6643673,764319382.5640858,801614260.6160727,829587495.723723,True
2025-12-28,798511867,793986685.9933279,758411697.8930464,795706575.9450332,823679811.0526836,True
2025-12-29,801303829,810138635.5143391,774563647.4140576,811858525.4660444,839831760.5736948,True
2025-12-30,799723069,799654053.7757196,764079065.6754382,801373943.727425,829347178.8350754,True
2025-12-31,783373686,792979214.5951632,757404226.4948817,794699104.5468686,822672339.654519,True
2026-01-01,707758012,780974785.0790311,745399796.9787496,782694675.0307364,810667910.1383868,False
2026-01-02,741910307,708891149.9162621,673316161.8159807,710611039.8679675,738584274.9756179,False
2026-01-03,801935633,747234156.988362,711659168.8880805,748954046.9400673,776927282.0477177,False
2026-01-04,820839320,794456391.2404504,758881403.1401689,796176281.1921557,824149516.2998061,True
2026-01-05,819629944,828168035.6088059,792593047.5085244,829887925.5605112,857861160.6681616,True
2026-01-06,848208043,813164822.2933556,777589834.1930741,814884712.2450609,842857947.3527113,False
2026-01-07,836618404,834937865.1513834,799362877.0511019,836657755.1030887,864630990.2107391,True
2026-01-08,845715705,826576617.182664,791001629.0823826,828296507.1343694,856269742.2420198,True
2026-01-09,845779172,840572560.4893322,804997572.3890507,842292450.4410375,870265685.5486879,True
