cause,effect,windows_tested,pass_count,min_q,median_q,median_lag,stability_score
石化,非普工业,4,2,0.00026518780689014065,0.18294292876381657,1.0,0.5
石化,纺织业,4,2,0.00027679551389037105,0.08442897537528639,1.0,0.5
化学制品制造业,纺织业,4,2,0.0003926018222900618,0.09162096293827411,1.0,0.5
化学制品制造业,非普工业,4,2,0.00043274148913399903,0.12962215069541233,1.0,0.5
农业,纺织业,4,2,0.0006480847274366152,0.0626147485289039,1.0,0.5
农业,非金属矿物制品业,4,2,0.0006480847274366152,0.09000213015571888,1.0,0.5
石化,非金属矿物制品业,4,2,0.0007004274178620738,0.12257448532693956,1.0,0.5
农业,黑色金属冶炼,4,2,0.0009553387994961738,0.0791144757489857,1.0,0.5
工业,非金属矿物制品业,4,2,0.00097737158637273,0.08514776405037669,1.5,0.5
电子,非金属矿物制品业,4,2,0.001242646895356525,0.030958542585042895,2.0,0.5
居民生活,非普工业,4,2,0.0012476404771157856,0.05707710525948406,1.0,0.5
批发和零售业,黑色金属冶炼,4,2,0.0012476404771157856,0.11649494855607677,1.0,0.5
大工业电量,制造业,4,2,0.001311355601811162,0.08308161742415218,1.5,0.5
商业用电,非金属矿物制品业,4,2,0.0013304180779016728,0.06345478882645245,1.0,0.5
批发和零售业,非金属矿物制品业,4,2,0.0013304180779016728,0.060091165539089005,1.0,0.5
化学制品制造业,非金属矿物制品业,4,2,0.001506715171477463,0.14409564559285645,1.0,0.5
商业用电,黑色金属冶炼,4,2,0.0019121064233565005,0.11472750233751972,1.0,0.5
非普工业,非金属矿物制品业,4,2,0.0020320149821965966,0.14622031471187785,2.0,0.5
制造业,大工业电量,4,2,0.0023091643082839303,0.13000218220464427,1.5,0.5
大工业电量,非金属矿物制品业,4,2,0.0023815137166832397,0.06720064439130041,1.5,0.5
制造业,工业,4,2,0.003574364834157333,0.12808709068549012,1.0,0.5
居民生活,非金属矿物制品业,4,2,0.0049761749648295495,0.06523721298562513,1.0,0.5
工业,制造业,4,2,0.005823123320451743,0.12841994473848783,1.0,0.5
合计,黑色金属冶炼,4,2,0.006489856444759733,0.10315897050252093,1.0,0.5
非金属矿物制品业,电子,4,2,0.008295285680940328,0.08954828184384632,2.5,0.5
住宿和餐饮业,非金属矿物制品业,4,2,0.009773859371096736,0.14419448516265965,1.0,0.5
黑色金属冶炼,纺织业,4,2,0.010306208031119111,0.06961468813250507,2.0,0.5
合计,非金属矿物制品业,4,2,0.012747397668424011,0.1750008219615033,1.0,0.5
制造业,非普工业,4,2,0.03695051021854294,0.09393115726902267,2.0,0.5
交通仓储和邮政业,黑色金属冶炼,4,1,0.0006721159331397283,0.09489640459626772,1.0,0.25
信息传输,黑色金属冶炼,4,1,0.0007613272364922046,0.0902085606182752,1.0,0.25
信息传输,制造业,4,1,0.0010547122270780339,0.059791025548544346,1.0,0.25
住宿和餐饮业,非普工业,4,1,0.0013223306491560963,0.11443882437897347,1.0,0.25
信息传输,工业,4,1,0.002250210769950671,0.09621450644349554,1.0,0.25
电子,黑色金属冶炼,4,1,0.0035318553851817164,0.1298951877768884,1.0,0.25
住宿和餐饮业,纺织业,4,1,0.0035616158292051843,0.12519340650821228,3.0,0.25
纺织业,合计,4,1,0.0036681006500798407,0.13010912331072455,1.0,0.25
交通仓储和邮政业,制造业,4,1,0.0038529895837579125,0.14027459692132477,1.0,0.25
石化,黑色金属冶炼,4,1,0.0054077181049007675,0.1367482758973048,1.0,0.25
化学制品制造业,黑色金属冶炼,4,1,0.006103203832043348,0.1367482758973048,1.0,0.25
石化,制造业,4,1,0.006253285741161185,0.18436782945083124,1.0,0.25
住宿和餐饮业,黑色金属冶炼,4,1,0.006705806470488972,0.17440762961250966,1.0,0.25
交通仓储和邮政业,工业,4,1,0.007474161001338118,0.18898309785168987,1.0,0.25
信息传输,大工业电量,4,1,0.007802277018082174,0.12228266381923816,1.0,0.25
大工业电量,工业,4,1,0.00843111117088847,0.32653187112389465,1.5,0.25
化学制品制造业,制造业,4,1,0.009152148233332859,0.18816068412339798,2.5,0.25
大工业电量,非普工业,4,1,0.009683797106348788,0.14150328406622945,1.0,0.25
非普工业,批发和零售业,4,1,0.01242361683366169,0.27331244844668356,2.0,0.25
农业,制造业,4,1,0.012649208163321513,0.1644035586307267,1.0,0.25
居民生活,纺织业,4,1,0.01478201345710358,0.09664771227147531,1.0,0.25
石化,工业,4,1,0.01747930043857089,0.2573565691589288,2.5,0.25
工业,大工业电量,4,1,0.01841157826731424,0.35709014828254493,1.5,0.25
交通仓储和邮政业,大工业电量,4,1,0.018700871893767197,0.2296221777748892,1.0,0.25
商业用电,制造业,4,1,0.018700871893767197,0.17025414492382748,1.0,0.25
居民生活,黑色金属冶炼,4,1,0.020126201046896906,0.14705955925624833,1.0,0.25
农业,化学制品制造业,4,1,0.02065237740221543,0.301232685500598,4.0,0.25
农业,石化,4,1,0.02065237740221543,0.4798130731948599,3.5,0.25
化学制品制造业,农业,4,1,0.02065237740221543,0.43805487777725893,2.5,0.25
商业用电,化学制品制造业,4,1,0.02065237740221543,0.42415687727162554,4.0,0.25
商业用电,石化,4,1,0.02065237740221543,0.5447832084154183,4.0,0.25
居民生活,化学制品制造业,4,1,0.02065237740221543,0.6935583449071244,2.5,0.25
