cause,effect,windows_tested,pass_count,min_q,median_q,median_lag,stability_score
农业,商业用电,4,0,0.31852406205128686,0.5089565256152074,3.0,0.0
电子,合计,4,0,0.3204612819649201,0.7411564575160663,1.0,0.0
住宿和餐饮业,居民生活,4,0,0.32643194852216945,0.5551733829885802,2.0,0.0
黑色金属冶炼,住宿和餐饮业,4,0,0.33375667285819943,0.6638340858619693,2.0,0.0
大工业电量,交通仓储和邮政业,4,0,0.33939763363619335,0.4803241736233678,1.0,0.0
工业,交通仓储和邮政业,4,0,0.3421138141627913,0.4958375276437347,1.0,0.0
批发和零售业,居民生活,4,0,0.3473823340457595,0.5046753201220238,1.5,0.0
农业,住宿和餐饮业,4,0,0.35525661494800653,0.43767338525606525,3.0,0.0
制造业,居民生活,4,0,0.35547734040725854,0.7469265923626157,1.5,0.0
农业,居民生活,4,0,0.3559109498137499,0.7195547748303197,2.5,0.0
电子,石化,4,0,0.3559109498137499,0.5123005391143007,3.0,0.0
非金属矿物制品业,商业用电,4,0,0.3591616690322372,0.6359444316508502,2.0,0.0
住宿和餐饮业,合计,4,0,0.3609329830370673,0.584366093306827,1.0,0.0
批发和零售业,电子,4,0,0.3687802368556234,0.49295554852868706,3.5,0.0
非金属矿物制品业,工业,4,0,0.37738018657666056,0.4118751467328614,2.0,0.0
合计,居民生活,4,0,0.38077782555405965,0.7349665237757423,1.5,0.0
大工业电量,居民生活,4,0,0.38077782555405965,0.7401892922005704,1.5,0.0
商业用电,批发和零售业,4,0,0.3837092436267918,0.6556061072994445,2.0,0.0
非金属矿物制品业,大工业电量,4,0,0.3837092436267918,0.4487279197262678,2.0,0.0
合计,信息传输,4,0,0.39106158775417044,0.7328663443859524,2.5,0.0
批发和零售业,合计,4,0,0.39106158775417044,0.5871861644250302,1.0,0.0
住宿和餐饮业,农业,4,0,0.39254263378837173,0.6031476400682323,1.5,0.0
信息传输,批发和零售业,4,0,0.39254263378837173,0.5001457517253541,3.5,0.0
非金属矿物制品业,非普工业,4,0,0.39361413598190387,0.5379645203433321,2.0,0.0
电子,农业,4,0,0.39441894914733416,0.737701325211187,1.0,0.0
批发和零售业,交通仓储和邮政业,4,0,0.3957482675433031,0.580697827466695,3.0,0.0
工业,居民生活,4,0,0.3981781278721532,0.7561782022570259,1.5,0.0
商业用电,电子,4,0,0.3997657680946888,0.5241524443492518,4.0,0.0
商业用电,信息传输,4,0,0.4036430936855059,0.7475965864597321,2.0,0.0
交通仓储和邮政业,批发和零售业,4,0,0.4051127092787363,0.5509134920722359,1.5,0.0
制造业,石化,4,0,0.40685230181497395,0.5746714062279515,2.0,0.0
大工业电量,石化,4,0,0.4145725149673743,0.586694996293506,2.5,0.0
非金属矿物制品业,石化,4,0,0.4236381113282022,0.6086181640223975,3.5,0.0
非普工业,交通仓储和邮政业,4,0,0.4332273033709809,0.6813500975330775,1.5,0.0
工业,石化,4,0,0.43479657649859454,0.6080889287372969,4.0,0.0
纺织业,居民生活,4,0,0.4454535615901953,0.7309749366306268,1.5,0.0
交通仓储和邮政业,农业,4,0,0.44923250684149596,0.8790018700817919,2.0,0.0
制造业,住宿和餐饮业,4,0,0.44923250684149596,0.6268484713087594,1.0,0.0
制造业,农业,4,0,0.44923250684149596,0.6250310773197508,1.0,0.0
商业用电,农业,4,0,0.45358240681967754,0.6346386845479226,3.0,0.0
农业,信息传输,4,0,0.46178223748101077,0.6161629354000198,3.0,0.0
非普工业,住宿和餐饮业,4,0,0.4621909595943905,0.6589234983380869,1.5,0.0
交通仓储和邮政业,住宿和餐饮业,4,0,0.47608759443006343,0.5952367925915548,1.0,0.0
非普工业,石化,4,0,0.47608759443006343,0.5567918122558051,4.0,0.0
信息传输,商业用电,4,0,0.4788638866290381,0.6243621640026478,3.5,0.0
信息传输,农业,4,0,0.4790483497337619,0.5840739972971842,2.0,0.0
纺织业,农业,4,0,0.4790483497337619,0.5977678491614619,1.0,0.0
交通仓储和邮政业,商业用电,4,0,0.48454291974525726,0.6616922746409546,2.0,0.0
大工业电量,住宿和餐饮业,4,0,0.4869189294751428,0.6393812980146419,1.0,0.0
大工业电量,农业,4,0,0.4869189294751428,0.6077516705525021,1.0,0.0
交通仓储和邮政业,电子,4,0,0.48741641528981067,0.615314711802909,3.5,0.0
农业,批发和零售业,4,0,0.48741641528981067,0.5395644735733491,3.0,0.0
工业,住宿和餐饮业,4,0,0.49961830326317297,0.6346987120029575,1.0,0.0
批发和零售业,农业,4,0,0.49961830326317297,0.7500026843705094,1.5,0.0
非普工业,居民生活,4,0,0.49961830326317297,0.7834486260028035,1.0,0.0
非普工业,信息传输,4,0,0.5016312997286467,0.8223409983615475,1.5,0.0
居民生活,商业用电,4,0,0.5056728695763082,0.7408726500039282,1.0,0.0
工业,农业,4,0,0.5056728695763082,0.6167139329648565,1.0,0.0
电子,信息传输,4,0,0.5056728695763082,0.800172753948341,1.5,0.0
纺织业,住宿和餐饮业,4,0,0.5056728695763082,0.6774236265857551,1.0,0.0
非金属矿物制品业,居民生活,4,0,0.533571716520422,0.7462399173910854,1.0,0.0
批发和零售业,住宿和餐饮业,4,0,0.5386860150479044,0.7501638281465448,1.0,0.0
制造业,信息传输,4,0,0.5564325192750041,0.7589912158714758,1.0,0.0
批发和零售业,商业用电,4,0,0.5610427695735645,0.7570827615631627,2.0,0.0
居民生活,批发和零售业,4,0,0.5694444362003979,0.8556402016227955,2.0,0.0
批发和零售业,信息传输,4,0,0.5767595577054284,0.7202777197163086,1.0,0.0
纺织业,信息传输,4,0,0.5861931959547684,0.7322792786764739,1.0,0.0
住宿和餐饮业,信息传输,4,0,0.5929377207291417,0.7353148423144313,2.0,0.0
合计,农业,4,0,0.607910754935302,0.7399045264606013,1.0,0.0
非金属矿物制品业,交通仓储和邮政业,4,0,0.6217151522949146,0.7408741321220853,1.5,0.0
大工业电量,信息传输,4,0,0.6244501464869433,0.7324536023385516,1.0,0.0
非普工业,农业,4,0,0.6412627163119256,0.7131870935581197,1.0,0.0
工业,信息传输,4,0,0.6416673529923114,0.7325823833878501,1.0,0.0
非金属矿物制品业,农业,4,0,0.6503437289019967,0.7881548055931034,1.5,0.0
住宿和餐饮业,商业用电,4,0,0.6587177597758951,0.8758426498098546,1.0,0.0
交通仓储和邮政业,信息传输,4,0,0.6873944293809391,0.7768118378444706,1.0,0.0
非金属矿物制品业,信息传输,4,0,0.730122174406624,0.7669669972756066,2.0,0.0
非金属矿物制品业,住宿和餐饮业,4,0,0.7358152687666322,0.7891499921209905,1.0,0.0
住宿和餐饮业,批发和零售业,4,0,0.8242049185030124,0.8520694843645318,3.0,0.0
