cause,effect,lag_weeks,f_stat,p_value,n,q_value_fdr,pass_fdr_05,window_start,window_end
制造业,工业,1,11.39774089561226,0.0010448219580752038,104,0.02065237740221543,True,2023-07-01,2025-06-30
交通仓储和邮政业,工业,1,2.4876134996237833,0.1178726993585828,104,0.2404603066915089,False,2023-07-01,2025-06-30
信息传输,工业,4,2.856066047170917,0.027899401818302194,101,0.10043784654588789,False,2023-07-01,2025-06-30
批发和零售业,工业,1,3.5266301771102646,0.06327519192912123,104,0.17094876480352822,False,2023-07-01,2025-06-30
住宿和餐饮业,工业,1,1.4702306894538388,0.2281379091594029,104,0.3559109498137499,False,2023-07-01,2025-06-30
黑色金属冶炼,工业,2,6.9220858559141,0.001541782766040778,103,0.02131808550821085,True,2023-07-01,2025-06-30
非金属矿物制品业,工业,2,0.8640874747256597,0.4246215287629279,103,0.5056728695763082,False,2023-07-01,2025-06-30
化学制品制造业,工业,4,1.8791172590355738,0.12072699670932918,101,0.24465205955665384,False,2023-07-01,2025-06-30
纺织业,工业,1,12.148327595065398,0.000728387673990305,104,0.02065237740221543,True,2023-07-01,2025-06-30
电子,工业,1,4.5960368960475275,0.034446162186598905,104,0.11384521345726764,False,2023-07-01,2025-06-30
石化,工业,4,1.2739464999671248,0.28596191243204916,101,0.4051127092787363,False,2023-07-01,2025-06-30
合计,交通仓储和邮政业,3,0.5370210544348855,0.6580494390134308,102,0.6943556149589994,False,2023-07-01,2025-06-30
大工业电量,交通仓储和邮政业,1,0.7559166757825476,0.3866709145832017,104,0.4869189294751428,False,2023-07-01,2025-06-30
非普工业,交通仓储和邮政业,1,0.11244936219166216,0.7380681329927747,104,0.7681933629108472,False,2023-07-01,2025-06-30
居民生活,交通仓储和邮政业,3,1.660055986816403,0.18084809053400464,102,0.3108961556371091,False,2023-07-01,2025-06-30
商业用电,交通仓储和邮政业,3,1.50744137423431,0.21760964560109608,102,0.35199526159812533,False,2023-07-01,2025-06-30
农业,交通仓储和邮政业,2,1.7832365594273398,0.17350399769987068,103,0.30166035963727517,False,2023-07-01,2025-06-30
制造业,交通仓储和邮政业,1,1.0239406967624074,0.3140041144917255,104,0.43874547504323286,False,2023-07-01,2025-06-30
工业,交通仓储和邮政业,1,0.6450224341422267,0.42378392930690023,104,0.5056728695763082,False,2023-07-01,2025-06-30
信息传输,交通仓储和邮政业,1,0.8838247584930076,0.3493992485300461,104,0.46574678745837333,False,2023-07-01,2025-06-30
批发和零售业,交通仓储和邮政业,3,1.3347900120903324,0.2677120633381168,102,0.3957482675433031,False,2023-07-01,2025-06-30
住宿和餐饮业,交通仓储和邮政业,4,1.0588978881910311,0.3814721482501783,101,0.4869189294751428,False,2023-07-01,2025-06-30
黑色金属冶炼,交通仓储和邮政业,1,2.3920095150936205,0.12508451359987194,104,0.2501690271997439,False,2023-07-01,2025-06-30
非金属矿物制品业,交通仓储和邮政业,1,0.03300270518941155,0.8562085758032321,104,0.8646858884349472,False,2023-07-01,2025-06-30
化学制品制造业,交通仓储和邮政业,4,4.286567983366217,0.0031698392346428683,101,0.02902833009329585,True,2023-07-01,2025-06-30
纺织业,交通仓储和邮政业,1,0.9220680472032264,0.33922572534253603,104,0.45728225530755956,False,2023-07-01,2025-06-30
电子,交通仓储和邮政业,1,1.4801699079148094,0.22658339027571495,104,0.3559109498137499,False,2023-07-01,2025-06-30
石化,交通仓储和邮政业,4,4.2752527844361365,0.003224580478844774,101,0.02902833009329585,True,2023-07-01,2025-06-30
合计,信息传输,3,0.3905490785579548,0.7600694852044128,102,0.7854148583684165,False,2023-07-01,2025-06-30
大工业电量,信息传输,1,0.31767870009717497,0.5742553119745122,104,0.6244501464869433,False,2023-07-01,2025-06-30
非普工业,信息传输,2,0.251562704080579,0.778085275053228,103,0.7989734703566703,False,2023-07-01,2025-06-30
居民生活,信息传输,3,1.62016677242533,0.18983769551333163,102,0.3174335236452431,False,2023-07-01,2025-06-30
商业用电,信息传输,3,1.2941928988137636,0.28096725148696977,102,0.4036430936855059,False,2023-07-01,2025-06-30
农业,信息传输,1,0.28930167493707476,0.5918516208720824,104,0.639952635995962,False,2023-07-01,2025-06-30
制造业,信息传输,1,0.47719133194341284,0.49128185059604146,104,0.5564325192750041,False,2023-07-01,2025-06-30
工业,信息传输,1,0.24604894992986345,0.6209486998502725,104,0.6620568019309525,False,2023-07-01,2025-06-30
交通仓储和邮政业,信息传输,2,0.27214916217310725,0.7623144213575808,103,0.7854148583684165,False,2023-07-01,2025-06-30
批发和零售业,信息传输,1,0.4201569287431151,0.5183296678725255,104,0.5767595577054284,False,2023-07-01,2025-06-30
住宿和餐饮业,信息传输,3,0.7231391621629851,0.5406196865471586,102,0.5929377207291417,False,2023-07-01,2025-06-30
黑色金属冶炼,信息传输,1,2.5660060534128912,0.11230620765334098,104,0.23220067258055635,False,2023-07-01,2025-06-30
非金属矿物制品业,信息传输,2,0.29689879403987035,0.7437852468758567,103,0.7715196120136005,False,2023-07-01,2025-06-30
化学制品制造业,信息传输,4,3.690951766576084,0.00782845973140156,101,0.04202646803173469,True,2023-07-01,2025-06-30
纺织业,信息传输,1,0.3922066670004226,0.532554602860868,104,0.5861931959547684,False,2023-07-01,2025-06-30
电子,信息传输,1,0.6242887297701818,0.43130921228567465,104,0.5056728695763082,False,2023-07-01,2025-06-30
石化,信息传输,4,3.580380441621731,0.009263373037766587,101,0.04723820992390696,True,2023-07-01,2025-06-30
合计,批发和零售业,1,2.098532186898216,0.15053815311784813,104,0.28307655781528096,False,2023-07-01,2025-06-30
大工业电量,批发和零售业,1,2.8421031336894482,0.09491100889625126,104,0.2087195191096917,False,2023-07-01,2025-06-30
