group,target,horizon,model,mae,rmse,mape,smape,n
key_variable,商业用电,17,direct_context_weather_holiday,3688332.8081930857,4444697.8859103685,0.04447710463607625,0.04357353690492336,101
key_variable,商业用电,18,direct_context_weather_holiday,3738994.338782344,4403501.95937047,0.04531168173691,0.04435470224054519,101
key_variable,商业用电,19,direct_context_weather_holiday,3716930.3853314645,4300405.424700411,0.04537851701531773,0.04440280716491358,101
key_variable,商业用电,20,direct_context_weather_holiday,3627357.2808435275,4231644.488850437,0.044366773633157226,0.043404644506881584,101
key_variable,商业用电,21,direct_context_weather_holiday,3762538.07915376,4374732.31476897,0.04633837715343936,0.04524907382428798,101
key_variable,商业用电,22,direct_context_weather_holiday,3831521.4711744804,4483929.5178374825,0.04739516494328519,0.046209440507186395,101
key_variable,商业用电,23,direct_context_weather_holiday,3816861.156954433,4491931.176956285,0.047214654115715,0.04605740414989138,101
key_variable,商业用电,24,direct_context_weather_holiday,3780438.463960135,4405883.221551779,0.04701936487070214,0.045885809907763274,101
key_variable,商业用电,25,direct_context_weather_holiday,3726471.275384239,4266012.437892345,0.04650584586779931,0.045452712010497026,101
key_variable,商业用电,26,direct_context_weather_holiday,3590173.0659489185,4109497.6742671914,0.04502836976910632,0.04404203848664629,101
key_variable,商业用电,27,direct_context_weather_holiday,3666138.2462027897,4200573.747954499,0.046356548502093836,0.04525820212223315,101
key_variable,商业用电,28,direct_context_weather_holiday,3844476.421483883,4422012.614052698,0.048952913420366846,0.04761023356749433,101
key_variable,商业用电,29,direct_context_weather_holiday,3859662.749366744,4409927.275898938,0.049090708850531295,0.047725696246173226,101
key_variable,商业用电,30,direct_context_weather_holiday,3725281.9547847374,4344949.707905948,0.04727284582238458,0.045958987885792106,101
key_variable,商业用电,1,direct_own_weather_holiday,2368712.6696359473,2885025.9491585097,0.02840325107082698,0.028825085097600345,101
key_variable,商业用电,2,direct_own_weather_holiday,2600662.1022628485,3208150.2493646704,0.030945623945350283,0.03141205296645167,101
key_variable,商业用电,3,direct_own_weather_holiday,2805974.893122688,3464312.451911644,0.03308182235267933,0.03357232558095645,101
key_variable,商业用电,4,direct_own_weather_holiday,2912955.7635028753,3611714.882204293,0.034029201910683815,0.03453641818102865,101
key_variable,商业用电,5,direct_own_weather_holiday,3023387.174838092,3733360.322621175,0.03494357282161151,0.035470750548702884,101
key_variable,商业用电,6,direct_own_weather_holiday,3101993.8702205927,3832962.086309224,0.035605530019702375,0.03615200542139872,101
key_variable,商业用电,7,direct_own_weather_holiday,3260615.29393384,4023697.3724586503,0.03746148102564263,0.038052846767351975,101
key_variable,商业用电,8,direct_own_weather_holiday,3341188.826820367,4160306.3404871477,0.03838033341483605,0.03901188584415862,101
key_variable,商业用电,9,direct_own_weather_holiday,3445334.25045166,4318426.460705195,0.039486156587246926,0.04015906666784861,101
key_variable,商业用电,10,direct_own_weather_holiday,3497375.468524204,4401556.955613605,0.04002703156861491,0.04071107750059286,101
key_variable,商业用电,11,direct_own_weather_holiday,3492407.899394518,4424604.298459056,0.03981537237777802,0.040510133375802546,101
key_variable,商业用电,12,direct_own_weather_holiday,3425578.95669408,4412309.283360406,0.03874779366175083,0.03945750200893087,101
key_variable,商业用电,13,direct_own_weather_holiday,3363219.8269256684,4334667.504563705,0.03791860035382947,0.03861757095389743,101
key_variable,商业用电,14,direct_own_weather_holiday,3408022.835587486,4353756.00433907,0.03847452374743289,0.03917917610157396,101
key_variable,商业用电,15,direct_own_weather_holiday,3554817.277655567,4507303.934932738,0.040341800440811176,0.04106799776186861,101
key_variable,商业用电,16,direct_own_weather_holiday,3611906.742957871,4565282.715074906,0.04114774904178277,0.04188004524012309,101
key_variable,商业用电,17,direct_own_weather_holiday,3572729.92137952,4494602.81537477,0.040840065252242236,0.04155744309843193,101
key_variable,商业用电,18,direct_own_weather_holiday,3478998.222722755,4399087.474954493,0.03979139111971549,0.04049769419323001,101
key_variable,商业用电,19,direct_own_weather_holiday,3336641.2061910415,4261563.955622568,0.03810206714136466,0.038795017961476046,101
key_variable,商业用电,20,direct_own_weather_holiday,3243010.603613778,4182382.645347046,0.036877659250314346,0.03757528918586719,101
key_variable,商业用电,21,direct_own_weather_holiday,3260329.857049931,4176480.2638123985,0.037149375779911266,0.03789611073012419,101
key_variable,商业用电,22,direct_own_weather_holiday,3384056.3461347427,4273020.313368757,0.0387566460138231,0.039546788115628034,101
key_variable,商业用电,23,direct_own_weather_holiday,3470884.1470339284,4329338.060275677,0.03991408281346432,0.04072050287061032,101
key_variable,商业用电,24,direct_own_weather_holiday,3381212.7898121565,4275603.738731444,0.03896071394811231,0.03974882207595883,101
key_variable,商业用电,25,direct_own_weather_holiday,3234831.094439902,4128111.099488662,0.03727843537306594,0.038074277288269114,101
key_variable,商业用电,26,direct_own_weather_holiday,3155550.57650654,4029033.0636927034,0.03636102879725106,0.03716720918684062,101
key_variable,商业用电,27,direct_own_weather_holiday,3109732.3622672,3961684.632670533,0.03582635022696599,0.03663477709371923,101
key_variable,商业用电,28,direct_own_weather_holiday,3115535.2059335755,3935124.8352328497,0.03608568963974361,0.036871700023916584,101
key_variable,商业用电,29,direct_own_weather_holiday,3168096.206782571,3944093.5260576284,0.03678734231074846,0.03755453062286804,101
key_variable,商业用电,30,direct_own_weather_holiday,3212077.0968907275,4034721.6913963524,0.03725805356295783,0.03802577232344223,101
key_variable,大工业电量,1,direct_context_weather_holiday,15937210.998948306,21466663.970483635,0.036960943430196874,0.036568673794405135,101
key_variable,大工业电量,2,direct_context_weather_holiday,17529077.593939587,23246562.682732023,0.04046016173380656,0.0401384356177403,101
key_variable,大工业电量,3,direct_context_weather_holiday,18364834.554079853,24280212.08080159,0.04221472758834752,0.042115578888176346,101
key_variable,大工业电量,4,direct_context_weather_holiday,19182761.354323756,24978949.592466377,0.043912817967820046,0.043831379192867,101
key_variable,大工业电量,5,direct_context_weather_holiday,18986804.354102623,24389331.131334435,0.04330117027066641,0.043269886951733644,101
key_variable,大工业电量,6,direct_context_weather_holiday,19077905.60899899,23942897.88215365,0.043381653578533824,0.043318117258878866,101
key_variable,大工业电量,7,direct_context_weather_holiday,19153228.892607234,23199337.644427918,0.04361814301801155,0.0432507298376619,101
key_variable,大工业电量,8,direct_context_weather_holiday,18731373.01547631,22706611.597911842,0.04278061971598452,0.042272840532315094,101
key_variable,大工业电量,9,direct_context_weather_holiday,17777401.470297057,21803646.543267872,0.040581403861590475,0.04018700308869818,101
